college_id,College_Name,State,Stream
1,Indian Institute of Technology Madras ,Tamil nadu,Engineering
2,"College of Engineering, Anna University ",Tamil nadu,Engineering
3,"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering
4,Vellore Institute of Technology ,Tamil nadu,Engineering
5,"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering
6,SSN College of Engineering ,Tamil nadu,Engineering
7,"SASTRA University, Thanjavur ",Tamil nadu,Engineering
8,P.S.G College of Technology ,Tamil nadu,Engineering
9,Thiagarajar College of Engineering ,Tamil nadu,Engineering
10,Coimbatore Institute of Technology ,Tamil nadu,Engineering
11,Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering
12,Kumaraguru College of Technology ,Tamil nadu,Engineering
13,"VEL Tech, Chennai ",Tamil nadu,Engineering
14,"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering
15,Government College of Technology ,Tamil nadu,Engineering
16,Hindustan Institute of Technology and Science ,Tamil nadu,Engineering
17,Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering
18,Kongu Engineering College ,Tamil nadu,Engineering
19,Bannari Amman Institute of Technology ,Tamil nadu,Engineering
20,"Sona College of Technology, Salem ",Tamil nadu,Engineering
21,Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering
22,"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering
23,Saveetha Engineering College ,Tamil nadu,Engineering
24,"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering
25,B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering
26,Sri Ramakrishna Engineering College ,Tamil nadu,Engineering
27,Rajalakshmi Engineering College ,Tamil nadu,Engineering
28,Sri Venkateswara College of Engineering ,Tamil nadu,Engineering
29,IIT Bombay ,Maharashtra,Engineering
30,Institute of Chemical Technology ,Maharashtra,Engineering
31,Visvesvaraya National Institute of Technology ,Maharashtra,Engineering
32,College of Engineering ,Maharashtra,Engineering
33,Defence Institute of Advanced Technology ,Maharashtra,Engineering
34,National Institute of Industrial Engineering ,Maharashtra,Engineering
35,Army Institute of Technology ,Maharashtra,Engineering
36,Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering
37,Veermata Jijabai Technological Institute ,Maharashtra,Engineering
38,GH Raisoni College of Engineering ,Maharashtra,Engineering
39,Mukesh Patel School of Technology Management and ,Maharashtra,Engineering
40,Sardar Patel Institute of Technology ,Maharashtra,Engineering
41,Shri Ramdeobaba College of Engineering and Management ,Maharashtra,Engineering
42,Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,Engineering
43,Yeshwantrao Chavan College of Engineering ,Maharashtra,Engineering
44,Walchand College of Engineering ,Maharashtra,Engineering
45,MIT World Peace University ,Maharashtra,Engineering
46,Vishwakarma Institute of Information Technology ,Maharashtra,Engineering
47,Ramrao Adik Institute of Technology ,Maharashtra,Engineering
48,Sardar Patel College of Engineering ,Maharashtra,Engineering
49,K. J. Somaiya College of Engineering ,Maharashtra,Engineering
50,Pimpri Chinchwad College of Engineering ,Maharashtra,Engineering
51,"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,Engineering
52,Dwarkadas J Sanghvi College of Engineering ,Maharashtra,Engineering
53,Thakur College of Engineering and Technology ,Maharashtra,Engineering
54,SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,Engineering
55,"Amity University, Mumbai ",Maharashtra,Engineering
56,"Vishwakarma Institute of Technology, Pune ",Maharashtra,Engineering
57,Indian Institute of Information Technology ,Maharashtra,Engineering
58,Tata Institute of Social Sciences ,Maharashtra,Engineering
