college_id,UG_fee,PG_fee
1,"75,116","23,070"
2,"50,000","50,000"
3,"1,49,250","99,250"
4,"1,98,000","1,83,000"
5,"2,60,000","1,70,000"
6,"50,000","50,000"
7,"1,67,000","1,57,000"
8,"87,000","1,54,000"
9,"50,000","50,000"
10,"23,670","1,32,710"
11,"2,13,500","1,21,500"
12,"50,000","50,000"
13,"50,000",--
14,"1,34,000","1,04,150"
15,"9,180","10,110"
16,"2,29,500","1,25,500"
17,"50,000","50,000"
18,"60,000","65,000"
19,"60,000","35,000"
20,"2,00,000","2,29,000"
21,"21,415","33,325"
22,"60,000","65,000"
23,"85,000","60,000"
24,"50,000","25,000"
25,"85,000","40,000"
26,"55,000","60,000"
27,"50,000","50,000"
28,"65,000","60,000"
29,"2,28,000","32,000"
30,"85,350","70,750"
31,"1,49,200","93,600"
32,"40,500","64,500"
33,"1,53,600","45,000"
34,"5,98,000","1,04,000"
35,"1,80,197","1,20,560"
36,"1,20,000","50,000"
37,"84,051","83,734"
38,"5,60,000","1,32,000"
39,"4,52,000","5,01,500"
40,"1,70,000","1,68,000"
41,"1,45,000","1,25,000"
42,"33,600","60,000"
43,"1,51,801","1,53,328"
44,"84,935","96,550"
45,"3,10,000","1,90,000"
46,"1,64,000","78,000"
47,"3,25,000","1,50,000"
48,"1,70,000","1,68,000"
49,"2,86,000","1,96,800"
50,"1,38,559","1,07,687"
51,"1,80,836","1,55,200"
52,"1,94,000","1,39,000"
53,"1,47,500","1,36,931"
54,"3,02,000",--
55,"2,22,000","1,50,000"
56,"1,79,895","88,765"
57,"2,34,500","1,00,500"
58,--,--
59,"2,15,600","2,14,050"
60,"84,981","36,815"
61,"3,11,000","1,40,000"
62,"2,69,445","4,30,970"
63,"84,666","1,18,000"
64,"2,36,500","1,20,000"
65,"1,04,000","2,80,400"
66,"51,300","26,500"
67,"1,63,770","97,850"
68,"1,59,000","45,000"
69,"3,50,000","60,000"
70,"2,00,000","1,60,000"
71,"1,40,000","80,000"
72,"47,500","13,500"
73,"1,78,000","75,000"
74,"89,775","73,200"
75,"1,15,000","45,000"
76,"1,51,000","35,500"
77,"2,18,700","2,18,700"
78,"1,07,000","75,000"
79,"1,11,200","1,22,400"
80,"1,44,000","94,000"
81,"90,000","75,000"
82,"6,14,000","2,13,000"
83,"1,43,700","1,30,000"
84,"61,800","59,300"
85,"1,35,000","83,300"
86,"2,21,100","42,100"
87,"2,20,300","1,32,900"
88,"16,150","8,970"
89,"1,90,000","1,66,000"
90,"3,11,000","1,40,000"
91,"3,60,000","1,00,000"
92,"1,17,200","23,000"
93,"2,36,500","1,20,000"
94,"1,71,550","1,52,950"
95,"2,60,000","82,000"
96,"83,625","83,625"
97,"88,000","33,000"
98,"1,81,500","1,16,000"
99,"1,63,770","97,850"
100,"1,59,000","45,000"
101,"1,90,000","1,20,000"
102,"2,00,000","1,60,000"
103,"1,81,500","1,65,000"
104,"96,866","1,98,500"
105,"40,000",--
106,"33,450","33,450"
107,"72,200","32,200"
108,"1,51,000","35,500"
109,"2,30,000","1,56,000"
110,"1,11,200","1,22,400"
111,"1,25,000",--
112,"1,43,200",--
113,"1,35,300",--
114,"6,14,000","2,13,000"
115,"2,50,000","1,45,000"
116,"10,000","1,09,000"
117,"16,395","31,647"
118,"2,50,000","1,10,000"
119,"10,000","30,000"
120,"2,80,000","76,850"
121,"80,000","80,000"
122,"89,350","75,000"
123,"71,050","70,000"
124,"95,000","55,000"
125,"25,000","38,750"
126,"30,000","57,000"
127,"2,76,000","1,00,000"
128,"1,00,000",--
129,"16,950","78,218"
130,"2,80,000","1,40,000"
131,"1,25,000","60,000"
132,"72,000","29,500"
133,"75,000","90,000"
134,"81,600","74,850"
135,"80,000","75,000"
136,"1,89,000","60,850"
137,"1,03,000","2,71,000"
138,"1,87,500","1,00,000"
139,"39,000","96,000"
140,"85,000","57,000"
141,"1,44,600","67,500"
142,"69,100","62,800"
143,"1,98,000","1,93,000"
144,"1,52,730","1,00,355"
145,"3,35,000","2,10,000"
146,"3,50,000","37,700"
147,"86,226","96,570"
148,"1,64,000","3,24,000"
149,"2,29,110","26,800"
150,"79,475","92,975"
151,"2,50,000","75,000"
152,"1,97,500","85,000"
153,"4,75,000","1,40,000"
154,"96,106","2,92,720"
155,"1,63,000","83,220"
156,"58,806","65,390"
157,"3,40,000","2,00,000"
158,"3,50,000",--
159,"15,000","40,000"
160,"30,200","37,500"
161,"76,800","74,450"
162,"2,50,000","1,40,000"
163,"44,090","55,590"
164,"2,25,000","1,50,000"
165,"65,340","60,000"
166,"1,70,000","35,000"
167,"3,35,000","2,10,000"
168,"29,200","35,200"
169,"2,25,000","5,00,000"
170,"6,25,000","1,50,000"
171,"2,10,000","90,000"
172,"2,22,995","5,00,895"
173,"1,30,000","75,000"
174,"3,00,000","1,50,000"
175,"12,500","18,000"
176,"27,770","39,770"
177,"1,34,000","1,51,600"
178,"1,31,000","1,41,700"
179,"1,21,650","72,500"
180,"90,000","70,000"
181,"1,20,000","70,000"
182,"1,25,000","57,000"
183,"1,35,500","66,500"
184,"1,30,000","1,00,000"
185,"1,22,000","75,000"
186,"1,25,960","74,550"
187,"2,65,000","1,20,000"
188,"4,23,475","4,69,475"
189,"1,08,000",--
190,"1,03,000","57,000"
191,"72,000",--
192,--,--
193,"5,20,000","2,10,000"
194,"4,70,000","70,000"
195,"80,000",--
196,"96,000","57,000"
197,"1,11,500",--
198,"86,000",--
199,"75,000","57,000"
200,"90,000",--
201,"2,28,700","50,800"
202,"64,939","1,04,275"
203,"1,37,580","71,000"
204,"75,070","1,42,250"
205,"1,98,000","1,93,000"
206,"55,000","35,000"
207,"40,000",--
208,"23,920","62,735"
209,"77,000","60,000"
210,"82,961","71,100"
211,"75,100","25,500"
212,"1,79,500",--
213,"1,89,500","96,500"
214,"65,000","30,000"
215,"1,64,000","64,000"
216,"60,000","46,000"
217,"1,15,000","75,000"
218,"22,300","10,000"
219,"44,000","32,000"
220,"73,600","60,000"
221,"80,000","65,000"
222,"2,22,500",--
223,"22,751","25,151"
224,"75,550","1,18,425"
225,"48,600","60,000"
226,"53,797","27,405"
227,"1,42,400","87,400"
228,"2,00,000","15,725"
229,"86,040","52,730"
230,"85,000",--
231,"46,600","19,290"
232,"35,850","2,22,350"
233,"29,000",--
234,"75,100","87,050"
235,"1,98,950",--
236,"22,150","10,970"
237,"60,000","1,38,500"
238,"8,410","16,290"
239,"1,00,000","96,000"
240,"50,000",--
241,"96,050","61,300"
242,"75,000","1,71,900"
243,"22,000","22,000"
244,"75,000","3,00,000"
245,"8,739","11,065"
246,"62,668","75,041"
247,"88,400","1,60,000"
248,"8,225","21,950"
249,"58,150",--
250,"38,250",--
251,"75,000",--
252,"75,000","60,000"
253,"87,000","77,000"
254,"35,000","77,000"
255,"75,000",--
256,"4,45,475","4,45,475"
257,"70,433","71,500"
258,"94,333","1,22,665"
259,"42,000","42,000"
260,"1,14,000","37,600"
261,"3,19,000","36,000"
262,"1,85,000","30,000"
263,"72,200","32,200"
264,"71,200","76,200"
265,"2,03,500","1,61,500"
266,"1,80,000","1,48,000"
267,"1,40,000","42,000"
268,"99,300","25,500"
269,"70,000","13,000"
270,"1,14,000","1,80,000"
271,"2,30,925",--
272,"30,000",--
273,"80,000","80,000"
274,"98,900","84,500"
275,"87,800","86,000"
276,"1,70,000","1,78,000"
277,"99,300","61,300"
278,"92,000",--
279,"11,57,000",--
280,"79,400","64,000"
281,"56,716","1,02,800"
282,"96,300","27,500"
283,"96,750","93,500"
284,"1,71,550","1,52,950"
285,"1,60,000","80,000"
286,"2,60,000","82,000"
287,"83,625","83,625"
288,"1,81,500","1,16,000"
289,"1,81,500","1,65,000"
290,"40,000",--
291,"1,00,200","41,200"
292,"2,30,000","1,56,000"
293,"44,696","24,500"
294,"3,30,000","4,30,000"
295,"82,197","16,160"
296,"80,000","40,000"
297,"1,57,800",--
298,"2,72,000","1,67,250"
299,"1,34,500","84,500"
300,"1,35,000","95,000"
